"","start","end","day"
"1",2019-10-10 15:00:00,2019-10-11 09:00:00,"Thursday"
"2",2019-10-11 15:00:00,2019-10-12 09:00:00,"Friday"
"3",2019-10-12 09:00:00,2019-10-13 09:00:00,"Saturday"
"4",2019-10-13 09:00:00,2019-10-14 09:00:00,"Sunday"
"5",2019-10-14 15:00:00,2019-10-15 09:00:00,"Monday"
"6",2019-10-15 15:00:00,2019-10-16 09:00:00,"Tuesday"
"7",2019-10-16 15:00:00,2019-10-17 09:00:00,"Wednesday"
"8",2019-10-17 15:00:00,2019-10-18 09:00:00,"Thursday"
"9",2019-10-18 15:00:00,2019-10-19 09:00:00,"Friday"
"10",2019-10-19 09:00:00,2019-10-20 09:00:00,"Saturday"
"11",2019-10-20 09:00:00,2019-10-21 09:00:00,"Sunday"
"12",2019-10-21 15:00:00,2019-10-22 09:00:00,"Monday"
"13",2019-10-22 15:00:00,2019-10-23 09:00:00,"Tuesday"
"14",2019-10-23 15:00:00,2019-10-24 09:00:00,"Wednesday"
"15",2019-10-24 15:00:00,2019-10-25 09:00:00,"Thursday"
"16",2019-10-25 15:00:00,2019-10-26 09:00:00,"Friday"
"17",2019-10-26 09:00:00,2019-10-27 09:00:00,"Saturday"
"18",2019-10-27 09:00:00,2019-10-28 09:00:00,"Sunday"
"19",2019-10-28 15:00:00,2019-10-29 09:00:00,"Monday"
"20",2019-10-29 15:00:00,2019-10-30 09:00:00,"Tuesday"
"21",2019-10-30 15:00:00,2019-10-31 09:00:00,"Wednesday"
"22",2019-10-31 15:00:00,2019-11-01 09:00:00,"Thursday"
"23",2019-11-01 15:00:00,2019-11-02 09:00:00,"Friday"
"24",2019-11-02 09:00:00,2019-11-03 09:00:00,"Saturday"
"25",2019-11-03 09:00:00,2019-11-04 09:00:00,"Sunday"
"26",2019-11-04 15:00:00,2019-11-05 09:00:00,"Monday"
"27",2019-11-05 15:00:00,2019-11-06 09:00:00,"Tuesday"
"28",2019-11-06 15:00:00,2019-11-07 09:00:00,"Wednesday"
"29",2019-11-07 15:00:00,2019-11-08 09:00:00,"Thursday"
"30",2019-11-08 15:00:00,2019-11-09 09:00:00,"Friday"
"31",2019-11-09 09:00:00,2019-11-10 09:00:00,"Saturday"
"32",2019-11-10 09:00:00,2019-11-11 09:00:00,"Sunday"
